# shortcode,# animated,# emoji-ordering.txt,# group-variant,# emoticon,# tone-group
,,1F9D1 1F3FF 200D 1F4BC ; fully-qualified # 🧑🏿‍💼 E12.1 office worker: dark skin tone,group: 1F9D1 200D 1F4BC,,2
:business-woman:,,1F469 200D 1F4BC ; fully-qualified # 👩‍💼 woman office worker,group: 1F9D1 200D 1F4BC,,2
,,1F469 1F3FB 200D 1F4BC ; fully-qualified # 👩🏻‍💼 woman office worker: light skin tone,group: 1F9D1 200D 1F4BC,,2
,,1F469 1F3FC 200D 1F4BC ; fully-qualified # 👩🏼‍💼 woman office worker: medium-light skin tone,group: 1F9D1 200D 1F4BC,,2
,,1F469 1F3FD 200D 1F4BC ; fully-qualified # 👩🏽‍💼 woman office worker: medium skin tone,group: 1F9D1 200D 1F4BC,,2
,,1F469 1F3FE 200D 1F4BC ; fully-qualified # 👩🏾‍💼 woman office worker: medium-dark skin tone,group: 1F9D1 200D 1F4BC,,2
,,1F469 1F3FF 200D 1F4BC ; fully-qualified # 👩🏿‍💼 woman office worker: dark skin tone,group: 1F9D1 200D 1F4BC,,2
:business-man:,,1F468 200D 1F4BC ; fully-qualified # 👨‍💼 man office worker,group: 1F9D1 200D 1F4BC,,2
,,1F468 1F3FB 200D 1F4BC ; fully-qualified # 👨🏻‍💼 man office worker: light skin tone,group: 1F9D1 200D 1F4BC,,2
,,1F468 1F3FC 200D 1F4BC ; fully-qualified # 👨🏼‍💼 man office worker: medium-light skin tone,group: 1F9D1 200D 1F4BC,,2
,,1F468 1F3FD 200D 1F4BC ; fully-qualified # 👨🏽‍💼 man office worker: medium skin tone,group: 1F9D1 200D 1F4BC,,2
,,1F468 1F3FE 200D 1F4BC ; fully-qualified # 👨🏾‍💼 man office worker: medium-dark skin tone,group: 1F9D1 200D 1F4BC,,2
,,1F468 1F3FF 200D 1F4BC ; fully-qualified # 👨🏿‍💼 man office worker: dark skin tone,group: 1F9D1 200D 1F4BC,,2
:judge:,,1F9D1 200D 2696 FE0F ; fully-qualified # 🧑‍⚖️ E12.1 judge,,,2
:judge:,,1F9D1 200D 2696 ; minimally-qualified # 🧑‍⚖ E12.1 judge,group: 1F9D1 200D 2696 FE0F ,,2
,,1F9D1 1F3FB 200D 2696 FE0F ; fully-qualified # 🧑🏻‍⚖️ E12.1 judge: light skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F9D1 1F3FB 200D 2696 ; minimally-qualified # 🧑🏻‍⚖ E12.1 judge: light skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F9D1 1F3FC 200D 2696 FE0F ; fully-qualified # 🧑🏼‍⚖️ E12.1 judge: medium-light skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F9D1 1F3FC 200D 2696 ; minimally-qualified # 🧑🏼‍⚖ E12.1 judge: medium-light skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F9D1 1F3FD 200D 2696 FE0F ; fully-qualified # 🧑🏽‍⚖️ E12.1 judge: medium skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F9D1 1F3FD 200D 2696 ; minimally-qualified # 🧑🏽‍⚖ E12.1 judge: medium skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F9D1 1F3FE 200D 2696 FE0F ; fully-qualified # 🧑🏾‍⚖️ E12.1 judge: medium-dark skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F9D1 1F3FE 200D 2696 ; minimally-qualified # 🧑🏾‍⚖ E12.1 judge: medium-dark skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F9D1 1F3FF 200D 2696 FE0F ; fully-qualified # 🧑🏿‍⚖️ E12.1 judge: dark skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F9D1 1F3FF 200D 2696 ; minimally-qualified # 🧑🏿‍⚖ E12.1 judge: dark skin tone,group: 1F9D1 200D 2696 FE0F ,,2
:judge-woman:,,1F469 200D 2696 FE0F ; fully-qualified # 👩‍⚖️ woman judge,group: 1F9D1 200D 2696 FE0F ,,2
:judge-woman:,,1F469 200D 2696 ; non-fully-qualified # 👩‍⚖ woman judge,group: 1F9D1 200D 2696 FE0F ,,2
,,1F469 1F3FB 200D 2696 FE0F ; fully-qualified # 👩🏻‍⚖️ woman judge: light skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F469 1F3FB 200D 2696 ; non-fully-qualified # 👩🏻‍⚖ woman judge: light skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F469 1F3FC 200D 2696 FE0F ; fully-qualified # 👩🏼‍⚖️ woman judge: medium-light skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F469 1F3FC 200D 2696 ; non-fully-qualified # 👩🏼‍⚖ woman judge: medium-light skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F469 1F3FD 200D 2696 FE0F ; fully-qualified # 👩🏽‍⚖️ woman judge: medium skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F469 1F3FD 200D 2696 ; non-fully-qualified # 👩🏽‍⚖ woman judge: medium skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F469 1F3FE 200D 2696 FE0F ; fully-qualified # 👩🏾‍⚖️ woman judge: medium-dark skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F469 1F3FE 200D 2696 ; non-fully-qualified # 👩🏾‍⚖ woman judge: medium-dark skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F469 1F3FF 200D 2696 FE0F ; fully-qualified # 👩🏿‍⚖️ woman judge: dark skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F469 1F3FF 200D 2696 ; non-fully-qualified # 👩🏿‍⚖ woman judge: dark skin tone,group: 1F9D1 200D 2696 FE0F ,,2
:judge-man:,,1F468 200D 2696 FE0F ; fully-qualified # 👨‍⚖️ man judge,group: 1F9D1 200D 2696 FE0F ,,2
:judge-man:,,1F468 200D 2696 ; non-fully-qualified # 👨‍⚖ man judge,group: 1F9D1 200D 2696 FE0F ,,2
,,1F468 1F3FB 200D 2696 FE0F ; fully-qualified # 👨🏻‍⚖️ man judge: light skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F468 1F3FB 200D 2696 ; non-fully-qualified # 👨🏻‍⚖ man judge: light skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F468 1F3FC 200D 2696 FE0F ; fully-qualified # 👨🏼‍⚖️ man judge: medium-light skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F468 1F3FC 200D 2696 ; non-fully-qualified # 👨🏼‍⚖ man judge: medium-light skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F468 1F3FD 200D 2696 FE0F ; fully-qualified # 👨🏽‍⚖️ man judge: medium skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F468 1F3FD 200D 2696 ; non-fully-qualified # 👨🏽‍⚖ man judge: medium skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F468 1F3FE 200D 2696 FE0F ; fully-qualified # 👨🏾‍⚖️ man judge: medium-dark skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F468 1F3FE 200D 2696 ; non-fully-qualified # 👨🏾‍⚖ man judge: medium-dark skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F468 1F3FF 200D 2696 FE0F ; fully-qualified # 👨🏿‍⚖️ man judge: dark skin tone,group: 1F9D1 200D 2696 FE0F ,,2
,,1F468 1F3FF 200D 2696 ; non-fully-qualified # 👨🏿‍⚖ man judge: dark skin tone,group: 1F9D1 200D 2696 FE0F ,,2
":technologist:, :person-at-computer:",,1F9D1 200D 1F4BB ; fully-qualified # 🧑‍💻 E12.1 technologist,,,2
,,1F9D1 1F3FB 200D 1F4BB ; fully-qualified # 🧑🏻‍💻 E12.1 technologist: light skin tone,group: 1F9D1 200D 1F4BB,,2
,,1F9D1 1F3FC 200D 1F4BB ; fully-qualified # 🧑🏼‍💻 E12.1 technologist: medium-light skin tone,group: 1F9D1 200D 1F4BB,,2
,,1F9D1 1F3FD 200D 1F4BB ; fully-qualified # 🧑🏽‍💻 E12.1 technologist: medium skin tone,group: 1F9D1 200D 1F4BB,,2
,,1F9D1 1F3FE 200D 1F4BB ; fully-qualified # 🧑🏾‍💻 E12.1 technologist: medium-dark skin tone,group: 1F9D1 200D 1F4BB,,2
,,1F9D1 1F3FF 200D 1F4BB ; fully-qualified # 🧑🏿‍💻 E12.1 technologist: dark skin tone,group: 1F9D1 200D 1F4BB,,2
:woman-at-computer:,,1F469 200D 1F4BB ; fully-qualified # 👩‍💻 woman technologist,group: 1F9D1 200D 1F4BB,,2
,,1F469 1F3FB 200D 1F4BB ; fully-qualified # 👩🏻‍💻 woman technologist: light skin tone,group: 1F9D1 200D 1F4BB,,2
,,1F469 1F3FC 200D 1F4BB ; fully-qualified # 👩🏼‍💻 woman technologist: medium-light skin tone,group: 1F9D1 200D 1F4BB,,2
,,1F469 1F3FD 200D 1F4BB ; fully-qualified # 👩🏽‍💻 woman technologist: medium skin tone,group: 1F9D1 200D 1F4BB,,2
,,1F469 1F3FE 200D 1F4BB ; fully-qualified # 👩🏾‍💻 woman technologist: medium-dark skin tone,group: 1F9D1 200D 1F4BB,,2
,,1F469 1F3FF 200D 1F4BB ; fully-qualified # 👩🏿‍💻 woman technologist: dark skin tone,group: 1F9D1 200D 1F4BB,,2
:man-at-computer:,,1F468 200D 1F4BB ; fully-qualified # 👨‍💻 man technologist,group: 1F9D1 200D 1F4BB,,2
,,1F468 1F3FB 200D 1F4BB ; fully-qualified # 👨🏻‍💻 man technologist: light skin tone,group: 1F9D1 200D 1F4BB,,2
,,1F468 1F3FC 200D 1F4BB ; fully-qualified # 👨🏼‍💻 man technologist: medium-light skin tone,group: 1F9D1 200D 1F4BB,,2
,,1F468 1F3FD 200D 1F4BB ; fully-qualified # 👨🏽‍💻 man technologist: medium skin tone,group: 1F9D1 200D 1F4BB,,2
,,1F468 1F3FE 200D 1F4BB ; fully-qualified # 👨🏾‍💻 man technologist: medium-dark skin tone,group: 1F9D1 200D 1F4BB,,2
,,1F468 1F3FF 200D 1F4BB ; fully-qualified # 👨🏿‍💻 man technologist: dark skin tone,group: 1F9D1 200D 1F4BB,,2
:singer:,,1F9D1 200D 1F3A4 ; fully-qualified # 🧑‍🎤 E12.1 singer,,,2
,,1F9D1 1F3FB 200D 1F3A4 ; fully-qualified # 🧑🏻‍🎤 E12.1 singer: light skin tone,group: 1F9D1 200D 1F3A4,,2
,,1F9D1 1F3FC 200D 1F3A4 ; fully-qualified # 🧑🏼‍🎤 E12.1 singer: medium-light skin tone,group: 1F9D1 200D 1F3A4,,2
,,1F9D1 1F3FD 200D 1F3A4 ; fully-qualified # 🧑🏽‍🎤 E12.1 singer: medium skin tone,group: 1F9D1 200D 1F3A4,,2
,,1F9D1 1F3FE 200D 1F3A4 ; fully-qualified # 🧑🏾‍🎤 E12.1 singer: medium-dark skin tone,group: 1F9D1 200D 1F3A4,,2
,,1F9D1 1F3FF 200D 1F3A4 ; fully-qualified # 🧑🏿‍🎤 E12.1 singer: dark skin tone,group: 1F9D1 200D 1F3A4,,2
:singer-woman:,,1F469 200D 1F3A4 ; fully-qualified # 👩‍🎤 woman singer,group: 1F9D1 200D 1F3A4,,2
,,1F469 1F3FB 200D 1F3A4 ; fully-qualified # 👩🏻‍🎤 woman singer: light skin tone,group: 1F9D1 200D 1F3A4,,2
,,1F469 1F3FC 200D 1F3A4 ; fully-qualified # 👩🏼‍🎤 woman singer: medium-light skin tone,group: 1F9D1 200D 1F3A4,,2
,,1F469 1F3FD 200D 1F3A4 ; fully-qualified # 👩🏽‍🎤 woman singer: medium skin tone,group: 1F9D1 200D 1F3A4,,2
,,1F469 1F3FE 200D 1F3A4 ; fully-qualified # 👩🏾‍🎤 woman singer: medium-dark skin tone,group: 1F9D1 200D 1F3A4,,2
,,1F469 1F3FF 200D 1F3A4 ; fully-qualified # 👩🏿‍🎤 woman singer: dark skin tone,group: 1F9D1 200D 1F3A4,,2
:singer-man:,,1F468 200D 1F3A4 ; fully-qualified # 👨‍🎤 man singer,group: 1F9D1 200D 1F3A4,,2
,,1F468 1F3FB 200D 1F3A4 ; fully-qualified # 👨🏻‍🎤 man singer: light skin tone,group: 1F9D1 200D 1F3A4,,2
,,1F468 1F3FC 200D 1F3A4 ; fully-qualified # 👨🏼‍🎤 man singer: medium-light skin tone,group: 1F9D1 200D 1F3A4,,2
,,1F468 1F3FD 200D 1F3A4 ; fully-qualified # 👨🏽‍🎤 man singer: medium skin tone,group: 1F9D1 200D 1F3A4,,2
,,1F468 1F3FE 200D 1F3A4 ; fully-qualified # 👨🏾‍🎤 man singer: medium-dark skin tone,group: 1F9D1 200D 1F3A4,,2
,,1F468 1F3FF 200D 1F3A4 ; fully-qualified # 👨🏿‍🎤 man singer: dark skin tone,group: 1F9D1 200D 1F3A4,,2
:artist:,,1F9D1 200D 1F3A8 ; fully-qualified # 🧑‍🎨 E12.1 artist,,,2
,,1F9D1 1F3FB 200D 1F3A8 ; fully-qualified # 🧑🏻‍🎨 E12.1 artist: light skin tone,group: 1F9D1 200D 1F3A8 ,,2
,,1F9D1 1F3FC 200D 1F3A8 ; fully-qualified # 🧑🏼‍🎨 E12.1 artist: medium-light skin tone,group: 1F9D1 200D 1F3A8 ,,2
,,1F9D1 1F3FD 200D 1F3A8 ; fully-qualified # 🧑🏽‍🎨 E12.1 artist: medium skin tone,group: 1F9D1 200D 1F3A8 ,,2
,,1F9D1 1F3FE 200D 1F3A8 ; fully-qualified # 🧑🏾‍🎨 E12.1 artist: medium-dark skin tone,group: 1F9D1 200D 1F3A8 ,,2
,,1F9D1 1F3FF 200D 1F3A8 ; fully-qualified # 🧑🏿‍🎨 E12.1 artist: dark skin tone,group: 1F9D1 200D 1F3A8 ,,2
:artist-woman:,,1F469 200D 1F3A8 ; fully-qualified # 👩‍🎨 woman artist,group: 1F9D1 200D 1F3A8,,2
,,1F469 1F3FB 200D 1F3A8 ; fully-qualified # 👩🏻‍🎨 woman artist: light skin tone,group: 1F9D1 200D 1F3A8,,2
,,1F469 1F3FC 200D 1F3A8 ; fully-qualified # 👩🏼‍🎨 woman artist: medium-light skin tone,group: 1F9D1 200D 1F3A8,,2
,,1F469 1F3FD 200D 1F3A8 ; fully-qualified # 👩🏽‍🎨 woman artist: medium skin tone,group: 1F9D1 200D 1F3A8,,2
,,1F469 1F3FE 200D 1F3A8 ; fully-qualified # 👩🏾‍🎨 woman artist: medium-dark skin tone,group: 1F9D1 200D 1F3A8,,2
,,1F469 1F3FF 200D 1F3A8 ; fully-qualified # 👩🏿‍🎨 woman artist: dark skin tone,group: 1F9D1 200D 1F3A8,,2
:artist-man:,,1F468 200D 1F3A8 ; fully-qualified # 👨‍🎨 man artist,group: 1F9D1 200D 1F3A8,,2
,,1F468 1F3FB 200D 1F3A8 ; fully-qualified # 👨🏻‍🎨 man artist: light skin tone,group: 1F9D1 200D 1F3A8,,2
,,1F468 1F3FC 200D 1F3A8 ; fully-qualified # 👨🏼‍🎨 man artist: medium-light skin tone,group: 1F9D1 200D 1F3A8,,2
,,1F468 1F3FD 200D 1F3A8 ; fully-qualified # 👨🏽‍🎨 man artist: medium skin tone,group: 1F9D1 200D 1F3A8,,2
,,1F468 1F3FE 200D 1F3A8 ; fully-qualified # 👨🏾‍🎨 man artist: medium-dark skin tone,group: 1F9D1 200D 1F3A8,,2
,,1F468 1F3FF 200D 1F3A8 ; fully-qualified # 👨🏿‍🎨 man artist: dark skin tone,group: 1F9D1 200D 1F3A8,,2
:cook:,,1F9D1 200D 1F373 ; fully-qualified # 🧑‍🍳 E12.1 cook,,,2
,,1F9D1 1F3FB 200D 1F373 ; fully-qualified # 🧑🏻‍🍳 E12.1 cook: light skin tone,group: 1F9D1 200D 1F373,,2
,,1F9D1 1F3FC 200D 1F373 ; fully-qualified # 🧑🏼‍🍳 E12.1 cook: medium-light skin tone,group: 1F9D1 200D 1F373,,2
,,1F9D1 1F3FD 200D 1F373 ; fully-qualified # 🧑🏽‍🍳 E12.1 cook: medium skin tone,group: 1F9D1 200D 1F373,,2
,,1F9D1 1F3FE 200D 1F373 ; fully-qualified # 🧑🏾‍🍳 E12.1 cook: medium-dark skin tone,group: 1F9D1 200D 1F373,,2
,,1F9D1 1F3FF 200D 1F373 ; fully-qualified # 🧑🏿‍🍳 E12.1 cook: dark skin tone,group: 1F9D1 200D 1F373,,2
:cook-woman:,,1F469 200D 1F373 ; fully-qualified # 👩‍🍳 woman cook,group: 1F9D1 200D 1F373,,2
,,1F469 1F3FB 200D 1F373 ; fully-qualified # 👩🏻‍🍳 woman cook: light skin tone,group: 1F9D1 200D 1F373,,2
,,1F469 1F3FC 200D 1F373 ; fully-qualified # 👩🏼‍🍳 woman cook: medium-light skin tone,group: 1F9D1 200D 1F373,,2
,,1F469 1F3FD 200D 1F373 ; fully-qualified # 👩🏽‍🍳 woman cook: medium skin tone,group: 1F9D1 200D 1F373,,2
,,1F469 1F3FE 200D 1F373 ; fully-qualified # 👩🏾‍🍳 woman cook: medium-dark skin tone,group: 1F9D1 200D 1F373,,2
,,1F469 1F3FF 200D 1F373 ; fully-qualified # 👩🏿‍🍳 woman cook: dark skin tone,group: 1F9D1 200D 1F373,,2
:cook-man:,,1F468 200D 1F373 ; fully-qualified # 👨‍🍳 man cook,group: 1F9D1 200D 1F373,,2
,,1F468 1F3FB 200D 1F373 ; fully-qualified # 👨🏻‍🍳 man cook: light skin tone,group: 1F9D1 200D 1F373,,2
,,1F468 1F3FC 200D 1F373 ; fully-qualified # 👨🏼‍🍳 man cook: medium-light skin tone,group: 1F9D1 200D 1F373,,2
,,1F468 1F3FD 200D 1F373 ; fully-qualified # 👨🏽‍🍳 man cook: medium skin tone,group: 1F9D1 200D 1F373,,2
,,1F468 1F3FE 200D 1F373 ; fully-qualified # 👨🏾‍🍳 man cook: medium-dark skin tone,group: 1F9D1 200D 1F373,,2
,,1F468 1F3FF 200D 1F373 ; fully-qualified # 👨🏿‍🍳 man cook: dark skin tone,group: 1F9D1 200D 1F373,,2
:turban:,,1F473 ; fully-qualified # 👳 person wearing turban,,,2
,,1F473 1F3FB ; fully-qualified # 👳🏻 person wearing turban: light skin tone,group: 1F473,,2
,,1F473 1F3FC ; fully-qualified # 👳🏼 person wearing turban: medium-light skin tone,group: 1F473,,2
,,1F473 1F3FD ; fully-qualified # 👳🏽 person wearing turban: medium skin tone,group: 1F473,,2
,,1F473 1F3FE ; fully-qualified # 👳🏾 person wearing turban: medium-dark skin tone,group: 1F473,,2
,,1F473 1F3FF ; fully-qualified # 👳🏿 person wearing turban: dark skin tone,group: 1F473,,2
:turban-woman:,,1F473 200D 2640 FE0F ; fully-qualified # 👳‍♀️ woman wearing turban,group: 1F473,,2
:turban-woman:,,1F473 200D 2640 ; non-fully-qualified # 👳‍♀ woman wearing turban,group: 1F473,,2
,,1F473 1F3FB 200D 2640 FE0F ; fully-qualified # 👳🏻‍♀️ woman wearing turban: light skin tone,group: 1F473,,2
,,1F473 1F3FB 200D 2640 ; non-fully-qualified # 👳🏻‍♀ woman wearing turban: light skin tone,group: 1F473,,2
,,1F473 1F3FC 200D 2640 FE0F ; fully-qualified # 👳🏼‍♀️ woman wearing turban: medium-light skin tone,group: 1F473,,2
,,1F473 1F3FC 200D 2640 ; non-fully-qualified # 👳🏼‍♀ woman wearing turban: medium-light skin tone,group: 1F473,,2
,,1F473 1F3FD 200D 2640 FE0F ; fully-qualified # 👳🏽‍♀️ woman wearing turban: medium skin tone,group: 1F473,,2
,,1F473 1F3FD 200D 2640 ; non-fully-qualified # 👳🏽‍♀ woman wearing turban: medium skin tone,group: 1F473,,2
,,1F473 1F3FE 200D 2640 FE0F ; fully-qualified # 👳🏾‍♀️ woman wearing turban: medium-dark skin tone,group: 1F473,,2
,,1F473 1F3FE 200D 2640 ; non-fully-qualified # 👳🏾‍♀ woman wearing turban: medium-dark skin tone,group: 1F473,,2
,,1F473 1F3FF 200D 2640 FE0F ; fully-qualified # 👳🏿‍♀️ woman wearing turban: dark skin tone,group: 1F473,,2
,,1F473 1F3FF 200D 2640 ; non-fully-qualified # 👳🏿‍♀ woman wearing turban: dark skin tone,group: 1F473,,2
:turban-man:,,1F473 200D 2642 FE0F ; fully-qualified # 👳‍♂️ man wearing turban,group: 1F473,,2
:turban-man:,,1F473 200D 2642 ; non-fully-qualified # 👳‍♂ man wearing turban,group: 1F473,,2
,,1F473 1F3FB 200D 2642 FE0F ; fully-qualified # 👳🏻‍♂️ man wearing turban: light skin tone,group: 1F473,,2
,,1F473 1F3FB 200D 2642 ; non-fully-qualified # 👳🏻‍♂ man wearing turban: light skin tone,group: 1F473,,2
,,1F473 1F3FC 200D 2642 FE0F ; fully-qualified # 👳🏼‍♂️ man wearing turban: medium-light skin tone,group: 1F473,,2
,,1F473 1F3FC 200D 2642 ; non-fully-qualified # 👳🏼‍♂ man wearing turban: medium-light skin tone,group: 1F473,,2
,,1F473 1F3FD 200D 2642 FE0F ; fully-qualified # 👳🏽‍♂️ man wearing turban: medium skin tone,group: 1F473,,2
,,1F473 1F3FD 200D 2642 ; non-fully-qualified # 👳🏽‍♂ man wearing turban: medium skin tone,group: 1F473,,2
,,1F473 1F3FE 200D 2642 FE0F ; fully-qualified # 👳🏾‍♂️ man wearing turban: medium-dark skin tone,group: 1F473,,2
,,1F473 1F3FE 200D 2642 ; non-fully-qualified # 👳🏾‍♂ man wearing turban: medium-dark skin tone,group: 1F473,,2
,,1F473 1F3FF 200D 2642 FE0F ; fully-qualified # 👳🏿‍♂️ man wearing turban: dark skin tone,group: 1F473,,2
,,1F473 1F3FF 200D 2642 ; non-fully-qualified # 👳🏿‍♂ man wearing turban: dark skin tone,group: 1F473,,2
:headscarf:,,1F9D5 ; fully-qualified # 🧕 woman with headscarf,,,1
,,1F9D5 1F3FB ; fully-qualified # 🧕🏻 woman with headscarf: light skin tone,group: 1F9D5,,1
,,1F9D5 1F3FC ; fully-qualified # 🧕🏼 woman with headscarf: medium-light skin tone,group: 1F9D5,,1
,,1F9D5 1F3FD ; fully-qualified # 🧕🏽 woman with headscarf: medium skin tone,group: 1F9D5,,1
,,1F9D5 1F3FE ; fully-qualified # 🧕🏾 woman with headscarf: medium-dark skin tone,group: 1F9D5,,1
,,1F9D5 1F3FF ; fully-qualified # 🧕🏿 woman with headscarf: dark skin tone,group: 1F9D5,,1
:gua-pi-mao:,,1F472 ; fully-qualified # 👲 man with Chinese cap,,,1
,,1F472 1F3FB ; fully-qualified # 👲🏻 man with Chinese cap: light skin tone,group: 1F472,,1
,,1F472 1F3FC ; fully-qualified # 👲🏼 man with Chinese cap: medium-light skin tone,group: 1F472,,1
,,1F472 1F3FD ; fully-qualified # 👲🏽 man with Chinese cap: medium skin tone,group: 1F472,,1
,,1F472 1F3FE ; fully-qualified # 👲🏾 man with Chinese cap: medium-dark skin tone,group: 1F472,,1
,,1F472 1F3FF ; fully-qualified # 👲🏿 man with Chinese cap: dark skin tone,group: 1F472,,1
,,,,,
,,# subgroup: person,,,
:angel:,,1F47C ; fully-qualified # 👼 baby angel,,,1
,,1F47C 1F3FB ; fully-qualified # 👼🏻 baby angel: light skin tone,group: 1F47C,,1
,,1F47C 1F3FC ; fully-qualified # 👼🏼 baby angel: medium-light skin tone,group: 1F47C,,1
,,1F47C 1F3FD ; fully-qualified # 👼🏽 baby angel: medium skin tone,group: 1F47C,,1
,,1F47C 1F3FE ; fully-qualified # 👼🏾 baby angel: medium-dark skin tone,group: 1F47C,,1
,,1F47C 1F3FF ; fully-qualified # 👼🏿 baby angel: dark skin tone,group: 1F47C,,1
:baby:,,1F476 ; fully-qualified # 👶 baby,,,1
,,1F476 1F3FB ; fully-qualified # 👶🏻 baby: light skin tone,group: 1F476,,1
,,1F476 1F3FC ; fully-qualified # 👶🏼 baby: medium-light skin tone,group: 1F476,,1
,,1F476 1F3FD ; fully-qualified # 👶🏽 baby: medium skin tone,group: 1F476,,1
,,1F476 1F3FE ; fully-qualified # 👶🏾 baby: medium-dark skin tone,group: 1F476,,1
,,1F476 1F3FF ; fully-qualified # 👶🏿 baby: dark skin tone,group: 1F476,,1
:child:,,1F9D2 ; fully-qualified # 🧒 child,,,2
,,1F9D2 1F3FB ; fully-qualified # 🧒🏻 child: light skin tone,group: 1F9D2,,2
,,1F9D2 1F3FC ; fully-qualified # 🧒🏼 child: medium-light skin tone,group: 1F9D2,,2
,,1F9D2 1F3FD ; fully-qualified # 🧒🏽 child: medium skin tone,group: 1F9D2,,2
,,1F9D2 1F3FE ; fully-qualified # 🧒🏾 child: medium-dark skin tone,group: 1F9D2,,2
,,1F9D2 1F3FF ; fully-qualified # 🧒🏿 child: dark skin tone,group: 1F9D2,,2
:girl:,,1F467 ; fully-qualified # 👧 girl,group: 1F9D2,,2
,,1F467 1F3FB ; fully-qualified # 👧🏻 girl: light skin tone,group: 1F9D2,,2
,,1F467 1F3FC ; fully-qualified # 👧🏼 girl: medium-light skin tone,group: 1F9D2,,2
,,1F467 1F3FD ; fully-qualified # 👧🏽 girl: medium skin tone,group: 1F9D2,,2
,,1F467 1F3FE ; fully-qualified # 👧🏾 girl: medium-dark skin tone,group: 1F9D2,,2
,,1F467 1F3FF ; fully-qualified # 👧🏿 girl: dark skin tone,group: 1F9D2,,2
:boy:,,1F466 ; fully-qualified # 👦 boy,group: 1F9D2,,2
,,1F466 1F3FB ; fully-qualified # 👦🏻 boy: light skin tone,group: 1F9D2,,2
,,1F466 1F3FC ; fully-qualified # 👦🏼 boy: medium-light skin tone,group: 1F9D2,,2
,,1F466 1F3FD ; fully-qualified # 👦🏽 boy: medium skin tone,group: 1F9D2,,2
,,1F466 1F3FE ; fully-qualified # 👦🏾 boy: medium-dark skin tone,group: 1F9D2,,2
,,1F466 1F3FF ; fully-qualified # 👦🏿 boy: dark skin tone,group: 1F9D2,,2
:adult:,,1F9D1 ; fully-qualified # 🧑 adult,,,2
,,1F9D1 1F3FB ; fully-qualified # 🧑🏻 adult: light skin tone,group: 1F9D1,,2
,,1F9D1 1F3FC ; fully-qualified # 🧑🏼 adult: medium-light skin tone,group: 1F9D1,,2
,,1F9D1 1F3FD ; fully-qualified # 🧑🏽 adult: medium skin tone,group: 1F9D1,,2
,,1F9D1 1F3FE ; fully-qualified # 🧑🏾 adult: medium-dark skin tone,group: 1F9D1,,2
,,1F9D1 1F3FF ; fully-qualified # 🧑🏿 adult: dark skin tone,group: 1F9D1,,2
:woman:,,1F469 ; fully-qualified # 👩 woman,group: 1F9D1,,2
,,1F469 1F3FB ; fully-qualified # 👩🏻 woman: light skin tone,group: 1F9D1,,2
,,1F469 1F3FC ; fully-qualified # 👩🏼 woman: medium-light skin tone,group: 1F9D1,,2
,,1F469 1F3FD ; fully-qualified # 👩🏽 woman: medium skin tone,group: 1F9D1,,2
,,1F469 1F3FE ; fully-qualified # 👩🏾 woman: medium-dark skin tone,group: 1F9D1,,2
,,1F469 1F3FF ; fully-qualified # 👩🏿 woman: dark skin tone,group: 1F9D1,,2
:man:,,1F468 ; fully-qualified # 👨 man,group: 1F9D1,,2
,,1F468 1F3FB ; fully-qualified # 👨🏻 man: light skin tone,group: 1F9D1,,2
,,1F468 1F3FC ; fully-qualified # 👨🏼 man: medium-light skin tone,group: 1F9D1,,2
,,1F468 1F3FD ; fully-qualified # 👨🏽 man: medium skin tone,group: 1F9D1,,2
,,1F468 1F3FE ; fully-qualified # 👨🏾 man: medium-dark skin tone,group: 1F9D1,,2
,,1F468 1F3FF ; fully-qualified # 👨🏿 man: dark skin tone,group: 1F9D1,,2
:elder:,,1F9D3 ; fully-qualified # 🧓 older adult,,,2
