# shortcode,# animated,# emoji-ordering.txt,# group-variant,# emoticon,# tone-group
,1,1F44D 1F3FD ; fully-qualified # 👍🏽 thumbs up: medium skin tone,group: 1F44D,,1
,1,1F44D 1F3FE ; fully-qualified # 👍🏾 thumbs up: medium-dark skin tone,group: 1F44D,,1
,1,1F44D 1F3FF ; fully-qualified # 👍🏿 thumbs up: dark skin tone,group: 1F44D,,1
:thumbs-down:,1,1F44E ; fully-qualified # 👎 thumbs down,,,1
,1,1F44E 1F3FB ; fully-qualified # 👎🏻 thumbs down: light skin tone,group: 1F44E,,1
,1,1F44E 1F3FC ; fully-qualified # 👎🏼 thumbs down: medium-light skin tone,group: 1F44E,,1
,1,1F44E 1F3FD ; fully-qualified # 👎🏽 thumbs down: medium skin tone,group: 1F44E,,1
,1,1F44E 1F3FE ; fully-qualified # 👎🏾 thumbs down: medium-dark skin tone,group: 1F44E,,1
,1,1F44E 1F3FF ; fully-qualified # 👎🏿 thumbs down: dark skin tone,group: 1F44E,,1
:heart-hands:,1,1FAF6 ; fully-qualified     # 🫶 heart hands,,,1
,1,1FAF6 1F3FB ; fully-qualified     # 🫶🏻 heart hands: light skin tone,group: 1FAF6,,1
,1,1FAF6 1F3FC ; fully-qualified     # 🫶🏼 heart hands: medium-light skin tone,group: 1FAF6,,1
,1,1FAF6 1F3FD ; fully-qualified     # 🫶🏽 heart hands: medium skin tone,group: 1FAF6,,1
,1,1FAF6 1F3FE ; fully-qualified     # 🫶🏾 heart hands: medium-dark skin tone,group: 1FAF6,,1
,1,1FAF6 1F3FF ; fully-qualified     # 🫶🏿 heart hands: dark skin tone,group: 1FAF6,,1
":raising-hands:,:hooray:",1,1F64C ; fully-qualified # 🙌 raising hands,,,1
,1,1F64C 1F3FB ; fully-qualified # 🙌🏻 raising hands: light skin tone,group: 1F64C,,1
,1,1F64C 1F3FC ; fully-qualified # 🙌🏼 raising hands: medium-light skin tone,group: 1F64C,,1
,1,1F64C 1F3FD ; fully-qualified # 🙌🏽 raising hands: medium skin tone,group: 1F64C,,1
,1,1F64C 1F3FE ; fully-qualified # 🙌🏾 raising hands: medium-dark skin tone,group: 1F64C,,1
,1,1F64C 1F3FF ; fully-qualified # 🙌🏿 raising hands: dark skin tone,group: 1F64C,,1
:open-hands:,1,1F450 ; fully-qualified # 👐 open hands,,,1
,1,1F450 1F3FB ; fully-qualified # 👐🏻 open hands: light skin tone,group: 1F450,,1
,1,1F450 1F3FC ; fully-qualified # 👐🏼 open hands: medium-light skin tone,group: 1F450,,1
,1,1F450 1F3FD ; fully-qualified # 👐🏽 open hands: medium skin tone,group: 1F450,,1
,1,1F450 1F3FE ; fully-qualified # 👐🏾 open hands: medium-dark skin tone,group: 1F450,,1
,1,1F450 1F3FF ; fully-qualified # 👐🏿 open hands: dark skin tone,group: 1F450,,1
:palms-up:,1,1F932 ; fully-qualified # 🤲 palms up together,,,1
,1,1F932 1F3FB ; fully-qualified # 🤲🏻 palms up together: light skin tone,group: 1F932,,1
,1,1F932 1F3FC ; fully-qualified # 🤲🏼 palms up together: medium-light skin tone,group: 1F932,,1
,1,1F932 1F3FD ; fully-qualified # 🤲🏽 palms up together: medium skin tone,group: 1F932,,1
,1,1F932 1F3FE ; fully-qualified # 🤲🏾 palms up together: medium-dark skin tone,group: 1F932,,1
,1,1F932 1F3FF ; fully-qualified # 🤲🏿 palms up together: dark skin tone,group: 1F932,,1
:fist-rightwards:,1,1F91C ; fully-qualified # 🤜 right-facing fist,,,1
,1,1F91C 1F3FB ; fully-qualified # 🤜🏻 right-facing fist: light skin tone,group: 1F91C,,1
,1,1F91C 1F3FC ; fully-qualified # 🤜🏼 right-facing fist: medium-light skin tone,group: 1F91C,,1
,1,1F91C 1F3FD ; fully-qualified # 🤜🏽 right-facing fist: medium skin tone,group: 1F91C,,1
,1,1F91C 1F3FE ; fully-qualified # 🤜🏾 right-facing fist: medium-dark skin tone,group: 1F91C,,1
,1,1F91C 1F3FF ; fully-qualified # 🤜🏿 right-facing fist: dark skin tone,group: 1F91C,,1
:fist-leftwards:,1,1F91B ; fully-qualified # 🤛 left-facing fist,,,1
,1,1F91B 1F3FB ; fully-qualified # 🤛🏻 left-facing fist: light skin tone,group: 1F91B,,1
,1,1F91B 1F3FC ; fully-qualified # 🤛🏼 left-facing fist: medium-light skin tone,group: 1F91B,,1
,1,1F91B 1F3FD ; fully-qualified # 🤛🏽 left-facing fist: medium skin tone,group: 1F91B,,1
,1,1F91B 1F3FE ; fully-qualified # 🤛🏾 left-facing fist: medium-dark skin tone,group: 1F91B,,1
,1,1F91B 1F3FF ; fully-qualified # 🤛🏿 left-facing fist: dark skin tone,group: 1F91B,,1
:raised-fist:,1,270A ; fully-qualified # ✊ raised fist,,,1
,1,270A 1F3FB ; fully-qualified # ✊🏻 raised fist: light skin tone,group: 270A,,1
,1,270A 1F3FC ; fully-qualified # ✊🏼 raised fist: medium-light skin tone,group: 270A,,1
,1,270A 1F3FD ; fully-qualified # ✊🏽 raised fist: medium skin tone,group: 270A,,1
